순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
5,원성준,키움,0.357,14,5,3,0,1,4,1,0,4,0,7번
6,김건희,키움,0.333,12,4,1,0,0,1,1,0,4,1,7번
7,변상권,키움,0.294,34,10,1,0,0,1,4,0,9,1,7번
7,이원석,키움,0.294,17,5,0,0,0,1,2,0,3,0,7번
9,임병욱,키움,0.263,19,5,0,0,0,2,1,0,6,1,7번
10,주성원,키움,0.217,23,5,0,0,0,3,1,0,6,2,7번
11,예진원,키움,0.200,5,1,0,0,0,0,0,0,2,1,7번
12,김웅빈,키움,0.167,6,1,0,0,0,0,1,0,2,0,7번
12,김재현,키움,0.167,12,2,0,0,0,4,1,0,4,0,7번
14,송성문,키움,0.150,20,3,0,0,1,3,3,0,5,1,7번
15,김태진,키움,0.000,8,0,0,0,0,0,0,0,1,0,7번
15,박수종,키움,0.000,1,0,0,0,0,0,1,0,0,0,7번
15,박주홍,키움,0.000,1,0,0,0,0,0,0,0,0,0,7번
15,임지열,키움,0.000,7,0,0,0,0,0,1,0,2,0,7번
15,장재영,키움,0.000,4,0,0,0,0,0,0,0,4,0,7번
15,최주환,키움,-,0,0,0,0,0,0,1,0,0,0,7번
1,이형종,키움,0.5,4,2,0,0,0,0,0,0,0,0,8번
2,김태진,키움,0.308,13,4,0,0,0,2,0,0,2,0,8번
3,임병욱,키움,0.286,14,4,1,0,0,1,0,0,4,0,8번
4,김건희,키움,0.263,19,5,0,0,0,3,2,0,8,0,8번
5,송성문,키움,0.261,23,6,0,0,2,5,2,0,1,0,8번
6,임지열,키움,0.25,4,1,0,0,0,1,4,0,1,1,8번
7,김재현,키움,0.246,114,28,4,0,0,11,4,6,24,5,8번
8,박수종,키움,0.2,5,1,0,0,0,0,1,0,1,0,8번
8,원성준,키움,0.2,5,1,0,0,0,0,0,0,3,0,8번
8,이재상,키움,0.2,30,6,0,0,0,1,0,1,12,0,8번
11,김시앙,키움,0.167,6,1,0,0,0,0,0,0,1,0,8번
12,박성빈,키움,0.125,8,1,0,0,0,0,1,0,2,0,8번
13,고영우,키움,0.0,1,0,0,0,0,0,0,0,1,0,8번
13,김주형,키움,0.0,3,0,0,0,0,0,1,1,2,0,8번
13,박준형,키움,0.0,5,0,0,0,0,0,0,0,3,0,8번
13,변상권,키움,0.0,1,0,0,0,0,0,0,0,1,0,8번
13,예진원,키움,0.0,1,0,0,0,0,0,0,0,0,0,8번
13,이용규,키움,0.0,2,0,0,0,0,0,0,0,0,0,8번
13,이원석,키움,0.0,3,0,0,0,0,0,0,0,2,0,8번
13,주성원,키움,0.0,3,0,0,0,0,0,0,0,1,0,8번
13,최주환,키움,0.0,1,0,0,0,0,0,0,0,0,0,8번
1,주성원,키움,0.444,9,4,0,0,1,2,3,0,3,0,9번
2,김태진,키움,0.400,10,4,2,0,0,0,0,0,0,0,9번
2,이용규,키움,0.400,10,4,0,0,0,1,3,2,2,1,9번
