순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
7,문상철,KT,0.095,21,2,0,0,1,3,1,0,4,0,2023,외야수,3
8,송민섭,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,외야수,3
8,이시원,KT,0.000,2,0,0,0,0,0,1,0,2,0,2023,외야수,3
8,정준영,KT,0.000,3,0,0,0,0,0,1,0,1,0,2023,외야수,3
1,이시원,KT,0.667,3,2,0,0,0,0,0,0,0,0,2023,외야수,4
2,홍현빈,KT,0.400,5,2,1,0,0,0,1,0,2,0,2023,외야수,4
3,알포드,KT,0.350,60,21,5,0,5,11,1,1,13,0,2023,외야수,4
4,조용호,KT,0.333,15,5,0,0,0,1,3,0,2,0,2023,외야수,4
5,김민혁,KT,0.324,34,11,4,0,1,8,2,0,4,1,2023,외야수,4
6,문상철,KT,0.293,41,12,4,0,1,6,4,0,12,1,2023,외야수,4
7,안치영,KT,0.250,16,4,0,0,0,0,0,1,5,0,2023,외야수,4
8,배정대,KT,0.231,39,9,2,0,1,7,1,0,9,1,2023,외야수,4
9,정준영,KT,0.200,5,1,0,0,0,1,0,0,1,0,2023,외야수,4
10,김병준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,외야수,4
1,송민섭,KT,1.000,1,1,0,0,0,0,0,0,0,0,2023,외야수,5
2,김민혁,KT,0.469,49,23,2,0,0,4,7,0,1,0,2023,외야수,5
3,정준영,KT,0.400,5,2,0,0,0,2,0,0,2,0,2023,외야수,5
4,배정대,KT,0.333,36,12,0,0,0,3,6,0,10,0,2023,외야수,5
4,안치영,KT,0.333,18,6,0,1,0,3,0,0,3,0,2023,외야수,5
6,알포드,KT,0.296,54,16,4,0,3,16,5,0,11,0,2023,외야수,5
7,문상철,KT,0.227,22,5,3,0,0,5,2,0,9,0,2023,외야수,5
8,조용호,KT,0.143,14,2,0,0,0,0,3,0,2,0,2023,외야수,5
9,이시원,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,외야수,5
9,홍현빈,KT,0.000,8,0,0,0,0,0,3,0,1,0,2023,외야수,5
1,안치영,KT,0.389,18,7,1,0,0,1,0,0,4,0,2023,외야수,6
2,조용호,KT,0.357,14,5,0,0,0,0,6,0,0,1,2023,외야수,6
3,홍현빈,KT,0.333,3,1,0,0,0,0,1,0,1,0,2023,외야수,6
4,문상철,KT,0.275,40,11,1,0,3,7,0,1,9,1,2023,외야수,6
5,알포드,KT,0.260,50,13,3,0,1,3,6,1,15,0,2023,외야수,6
6,배정대,KT,0.250,44,11,2,0,0,9,4,2,14,1,2023,외야수,6
7,김민혁,KT,0.233,43,10,1,0,1,5,6,0,5,1,2023,외야수,6
8,이시원,KT,0.200,5,1,0,0,0,0,0,0,1,0,2023,외야수,6
9,정준영,KT,0.167,6,1,1,0,0,1,0,0,0,0,2023,외야수,6
10,송민섭,KT,0.000,1,0,0,0,0,0,0,0,0,0,2023,외야수,6
