선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
박준태,키움,0.196,27,58,46,10,9,3,0,0,12,4,0,0,10,0,2,16,0,0.261,0.362,0.623,1,0.214,1.0,2021
전병우,키움,0.187,115,261,214,35,40,8,0,6,66,31,4,1,33,0,9,83,0,0.308,0.319,0.627,7,0.286,0.2,2021
김주형,키움,0.180,36,70,50,5,9,3,0,0,12,5,3,0,4,0,13,15,0,0.240,0.388,0.628,1,0.364,1.0,2021
신준우,키움,0.167,56,51,42,7,7,3,0,0,10,4,1,1,4,0,3,21,1,0.238,0.280,0.518,0,0.154,1.0,2021
이명기,키움,0.167,3,8,6,0,1,0,0,0,1,1,0,0,2,0,0,3,0,0.167,0.375,0.542,0,0.0,0.0,2021
예진원,키움,0.158,52,132,114,16,18,6,1,1,29,8,3,1,12,0,2,28,2,0.254,0.248,0.502,0,0.105,0.2,2021
허정협,키움,0.156,29,52,45,5,7,0,0,0,7,2,0,0,7,0,0,10,1,0.156,0.269,0.425,0,0.214,0.235,2021
문찬종,키움,0.143,13,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0.143,0.294,0.437,0,0.333,0.0,2021
김휘집,키움,0.129,34,89,70,9,9,1,0,1,13,8,3,1,13,0,2,23,0,0.186,0.279,0.465,2,0.313,0.0,2021
임지열,키움,0.120,19,30,25,5,3,0,0,0,3,0,0,0,4,0,1,10,1,0.120,0.267,0.387,1,0.0,0.0,2021
박주홍,키움,0.106,23,56,47,4,5,2,0,0,7,3,0,0,9,0,0,21,1,0.149,0.250,0.399,0,0.071,0.25,2021
이주형,키움,0.100,5,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0.400,0.182,0.582,0,0.25,0.0,2021
김동욱,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
김성민,키움,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
