,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
36,허도환,KT,62,0,0,0,-,3,0,2021
37,홍현빈,KT,43,1,0,1,0.0,3,0,2021
38,홍창기,LG,144,31,23,8,74.2,5,3,2021
39,서건창,LG,144,16,12,4,75.0,3,0,2021
40,오지환,LG,134,18,12,6,66.7,6,2,2021
41,김용의,LG,102,6,6,0,100,2,1,2021
42,이영빈,LG,72,9,6,3,66.7,2,0,2021
43,이재원,LG,62,6,5,1,83.3,5,0,2021
44,채은성,LG,110,6,4,2,66.7,2,3,2021
45,김민성,LG,121,6,3,3,50.0,3,1,2021
46,김현수,LG,140,3,3,0,100,5,1,2021
47,문보경,LG,107,4,3,1,75.0,1,0,2021
48,이천웅,LG,68,5,3,2,60.0,0,0,2021
49,이형종,LG,90,4,3,1,75.0,2,0,2021
50,정주현,LG,73,6,3,3,50.0,1,0,2021
51,신민재,LG,32,3,2,1,66.7,1,1,2021
52,유강남,LG,130,2,2,0,100,2,2,2021
53,이상호,LG,45,3,2,1,66.7,0,0,2021
54,이주형,LG,14,3,2,1,66.7,0,0,2021
55,한석현,LG,16,2,2,0,100,1,0,2021
56,김재성,LG,58,1,1,0,100,0,0,2021
57,문성주,LG,31,2,1,1,50.0,1,1,2021
58,고우석,LG,5,0,0,0,-,0,0,2021
59,구본혁,LG,123,0,0,0,-,0,0,2021
60,김주성,LG,3,0,0,0,-,0,0,2021
61,김지용,LG,1,0,0,0,-,0,0,2021
62,김진수,LG,1,0,0,0,-,0,0,2021
63,김호은,LG,7,0,0,0,-,0,0,2021
64,라모스,LG,51,0,0,0,-,2,0,2021
65,류원석,LG,1,0,0,0,-,0,0,2021
66,보어,LG,32,0,0,0,-,0,0,2021
67,손호영,LG,8,0,0,0,-,0,0,2021
68,안익훈,LG,48,0,0,0,-,0,0,2021
69,이상규,LG,3,0,0,0,-,0,0,2021
70,이상영,LG,3,0,0,0,-,0,0,2021
71,이성우,LG,36,0,0,0,-,1,0,2021
72,이우찬,LG,1,0,0,0,-,0,0,2021
73,이정용,LG,1,0,0,0,-,0,0,2021
74,이찬혁,LG,1,0,0,0,-,0,0,2021
75,장준원,LG,5,0,0,0,-,0,0,2021
76,진해수,LG,2,0,0,0,-,0,0,2021
77,채원후,LG,4,0,0,0,-,0,0,2021
78,최민창,LG,3,0,0,0,-,0,0,2021
79,최성훈,LG,5,0,0,0,-,0,0,2021
80,조수행,두산,115,25,21,4,84.0,2,1,2021
81,박건우,두산,126,13,13,0,100,6,0,2021
82,정수빈,두산,104,19,12,7,63.2,1,3,2021
83,강승호,두산,113,10,8,2,80.0,3,0,2021
84,허경민,두산,136,12,5,7,41.7,2,0,2021
85,박계범,두산,118,7,4,3,57.1,4,0,2021
86,박세혁,두산,96,6,4,2,66.7,1,0,2021
87,박지훈,두산,34,4,3,1,75.0,1,0,2021
88,안권수,두산,87,3,3,0,100,0,0,2021
89,김재환,두산,137,5,2,3,40.0,4,1,2021
90,양석환,두산,133,5,2,3,40.0,6,0,2021
